Ticker,Name,IPO_Date,IPO_Open,IPO_Close,IPO_Day_Return_Pct,Month_End_Close,Month_Return_Pct,Trading_Days_In_Data,Sector
LMT,Lockheed Martin,1/2/1962,0.8385,0.8407,0.27,0.9326,11.23,23,Industrials
CAT,Caterpillar Inc.,1/2/1962,0.4632,0.4632,0,0.5054,9.1,23,Industrials
CNP,CenterPoint Energy,1/2/1962,0.2841,0.2841,0,0.2832,-0.33,23,Utilities
MSI,Motorola Solutions,1/2/1962,0.6097,0.6151,0.88,0.5704,-6.45,23,Technology
CVX,Chevron Corporation,1/2/1962,0.3031,0.308,1.61,0.3108,2.55,23,Energy
MRK,Merck & Co.,1/2/1962,0.0639,0.0642,0.56,0.0599,-6.18,23,Healthcare
DIS,Walt Disney Company,1/2/1962,0.0571,0.0571,0,0.0582,2.01,23,Communication Services
DTE,DTE Energy,1/2/1962,0.3896,0.3896,0,0.364,-6.58,23,Utilities
PG,Procter & Gamble,1/2/1962,0.245,0.2463,0.55,0.2244,-8.39,23,Consumer Defensive
ED,Consolidated Edison,1/2/1962,0.2408,0.2408,0,0.2312,-4,23,Utilities
MO,Altria Group,1/2/1962,0.0024,0.0024,0,0.0023,-6.08,23,Consumer Defensive
BA,Boeing Company,1/2/1962,0.1943,0.1909,-1.72,0.2095,7.86,23,Industrials
GD,General Dynamics,1/2/1962,0.1647,0.169,2.58,0.2057,24.89,23,Industrials
MMM,3M Company,1/2/1962,0.5508,0.5549,0.76,0.5675,3.03,23,Industrials
GE,GE Aerospace,1/2/1962,0.6202,0.6181,-0.33,0.6161,-0.67,23,Industrials
KR,Kroger Co.,1/2/1962,0.0315,0.0319,1.28,0.0311,-1.18,23,Consumer Defensive
KO,Coca-Cola Company,1/2/1962,0.0451,0.0451,0,0.0419,-6.93,23,Consumer Defensive
XOM,Exxon Mobil Corporation,1/2/1962,0.0888,0.0888,0,0.0949,6.93,23,Energy
JNJ,Johnson & Johnson,1/2/1962,0.0603,0.0607,0.52,0.0589,-2.34,23,Healthcare
IP,International Paper,1/2/1962,0.8384,0.8384,0,0.7697,-8.19,23,Consumer Cyclical
AEP,American Electric Power,1/2/1962,0.8941,0.8941,0,0.8501,-4.92,23,Utilities
HPQ,HP Inc.,1/2/1962,0.0418,0.0396,-5.41,0.038,-9.12,23,Technology
IBM,IBM Corporation,1/2/1962,1.4719,1.4554,-1.12,1.4108,-4.15,23,Technology
HON,Honeywell International,1/2/1962,0.9709,0.9753,0.45,0.9335,-3.85,23,Industrials
RTX,RTX Corporation,4/2/1962,0.0898,0.0905,0.78,0.088,-2.07,22,Industrials
MCD,McDonald's Corporation,7/5/1966,0.1118,0.1127,0.77,0.0985,-11.92,23,Consumer Cyclical
PFE,Pfizer Inc.,6/1/1972,0.1438,0.146,1.54,0.15,4.31,22,Healthcare
LLY,Eli Lilly and Company,6/1/1972,0.8887,0.8938,0.58,0.918,3.3,22,Healthcare
HAL,Halliburton Company,6/1/1972,1.2386,1.256,1.4,1.264,2.05,22,Energy
DE,Deere & Company,6/1/1972,0.6432,0.6508,1.18,0.6001,-6.69,22,Industrials
DD,DuPont de Nemours,6/1/1972,0.4416,0.4428,0.27,0.4365,-1.15,22,Basic Materials
EMR,Emerson Electric,6/1/1972,0.768,0.7702,0.29,0.7691,0.15,22,Industrials
PCG,PG&E Corporation,6/1/1972,0.892,0.896,0.44,0.8619,-3.37,22,Utilities
TXN,Texas Instruments,6/1/1972,0.6863,0.6911,0.69,0.7138,4.01,22,Technology
ETN,Eaton Corporation,6/1/1972,0.3456,0.3484,0.8,0.3354,-2.94,22,Industrials
ETR,Entergy Corporation,6/1/1972,0.5372,0.5404,0.6,0.531,-1.15,22,Utilities
F,Ford Motor Company,6/1/1972,0.2078,0.2082,0.19,0.2004,-3.58,22,Consumer Cyclical
BMY,Bristol-Myers Squibb,6/1/1972,0.2861,0.2873,0.4,0.2861,0,22,Healthcare
AXP,American Express,6/1/1972,1.2242,1.2242,0,1.1895,-2.83,22,Financial Services
PEP,PepsiCo Inc.,6/1/1972,0.3736,0.3779,1.17,0.3675,-1.62,22,Consumer Defensive
WFC,Wells Fargo & Company,6/1/1972,0.1375,0.1375,0,0.1497,8.88,22,Financial Services
HUBB,Hubbell Inc.,6/5/1972,0.1975,0.1975,0,0.1975,0,7,Industrials
WMT,Walmart Inc.,8/25/1972,0.0114,0.0115,1.54,0.0103,-8.85,20,Consumer Defensive
AIG,American International Group,1/2/1973,13.6065,13.6065,0,12.3587,-9.17,22,Financial Services
EVRG,Evergy Inc.,2/21/1973,1.594,1.6017,0.48,1.5396,-3.41,23,Utilities
XEL,Xcel Energy,2/21/1973,1.0258,1.0258,0,0.9993,-2.59,23,Utilities
SNA,Snap-on Inc.,2/21/1973,3.1204,3.1204,0,2.9904,-4.17,23,Industrials
CPB,Campbell Soup Company,2/21/1973,0.6378,0.6552,2.72,0.618,-3.11,23,Consumer Defensive
PNW,Pinnacle West Capital,2/21/1973,4.1869,4.2343,1.13,3.7848,-9.6,23,Utilities
MKC,McCormick & Company,2/21/1973,0.3806,0.3806,0,0.3391,-10.91,23,Consumer Defensive
NEE,NextEra Energy,2/21/1973,0.3512,0.3524,0.35,0.3439,-2.08,23,Utilities
RVTY,Revvity Inc.,2/21/1973,0.5024,0.5024,0,0.5109,1.69,23,Healthcare
VMC,Vulcan Materials,2/21/1973,0.5549,0.5549,0,0.5241,-5.56,23,Basic Materials
CMS,CMS Energy,2/21/1973,9.3399,9.4612,1.3,9.0973,-2.6,23,Utilities
CMI,Cummins Inc.,2/21/1973,1.955,1.955,0,1.6138,-17.45,23,Industrials
GWW,W.W. Grainger,2/21/1973,2.3731,2.3731,0,1.9898,-16.15,23,Industrials
CLX,Clorox Company,2/21/1973,1.5699,1.5924,1.43,1.4259,-9.17,23,Consumer Defensive
TXT,Textron Inc.,2/21/1973,1.5964,1.6115,0.94,1.3528,-15.26,23,Industrials
ES,Eversource Energy,2/21/1973,2.3438,2.3438,0,2.2285,-4.92,23,Utilities
NI,NiSource Inc.,2/21/1973,0.777,0.777,0,0.6977,-10.2,23,Utilities
SPGI,S&P Global Inc.,2/21/1973,0.3299,0.3299,0,0.2883,-12.62,23,Financial Services
AVY,Avery Dennison,2/21/1973,2.0371,2.0371,0,2.0279,-0.45,23,Consumer Cyclical
CVS,CVS Health Corporation,2/21/1973,0.6049,0.6049,0,0.6281,3.85,23,Healthcare
LNT,Alliant Energy,2/21/1973,0.7258,0.7258,0,0.6987,-3.73,23,Utilities
TER,Teradyne Inc.,2/21/1973,1.1142,1.1142,0,0.8626,-22.58,23,Technology
ECL,Ecolab Inc.,2/21/1973,1.4044,1.4044,0,1.2903,-8.13,23,Basic Materials
BAC,Bank of America,2/21/1973,1.5076,1.5076,0,1.5025,-0.34,23,Financial Services
MRSH,Marsh & McLennan,2/21/1973,0.901,0.901,0,0.7924,-12.06,23,Financial Services
BALL,Ball Corporation,2/21/1973,0.1276,0.1276,0,0.108,-15.38,23,Consumer Cyclical
BDX,Becton Dickinson,2/21/1973,0.8821,0.8851,0.34,0.8755,-0.75,23,Healthcare
TGT,Target Corporation,2/21/1973,0.1805,0.1805,0,0.1596,-11.59,23,Consumer Defensive
ITW,Illinois Tool Works,3/13/1973,0.541,0.5429,0.35,0.4762,-11.97,23,Industrials
EXC,Exelon Corporation,5/2/1973,0.2496,0.2496,0,0.2472,-0.99,22,Utilities
CL,Colgate-Palmolive,5/2/1973,0.4251,0.4324,1.72,0.3767,-11.39,22,Consumer Defensive
MDT,Medtronic plc,5/2/1973,0.1803,0.1803,0,0.1783,-1.11,22,Healthcare
EIX,Edison International,5/3/1973,0.3645,0.3758,3.09,0.3664,0.52,21,Utilities
FRT,Federal Realty Investment Trust,5/3/1973,0.4899,0.4839,-1.22,0.4958,1.22,21,Real Estate
PNR,Pentair plc,5/3/1973,0.5246,0.5246,0,0.4395,-16.22,21,Industrials
WY,Weyerhaeuser Company,5/3/1973,1.2471,1.2637,1.33,1.2554,0.66,21,Real Estate
BK,Bank of New York Mellon,5/3/1973,0.4991,0.5028,0.75,0.5028,0.75,21,Financial Services
USB,U.S. Bancorp,5/3/1973,0.1398,0.1398,0,0.1423,1.81,21,Financial Services
SYY,Sysco Corporation,5/8/1973,0.0709,0.0709,0,0.0574,-19.02,22,Consumer Defensive
WRB,W.R. Berkley Corporation,10/23/1973,0.0858,0.0858,0,0.052,-39.44,22,Financial Services
IFF,International Flavors & Fragrances,12/17/1974,1.6431,1.7981,9.43,2.1495,30.82,21,Basic Materials
TAP,Molson Coors Beverage,6/12/1975,6.6462,6.6462,0,6.973,4.92,21,Consumer Defensive
PNC,PNC Financial Services,11/17/1975,0.6552,0.6552,0,0.5616,-14.29,22,Financial Services
TRV,Travelers Companies,11/17/1975,2.9771,2.9771,0,2.7424,-7.89,22,Financial Services
C,Citigroup Inc.,1/3/1977,6.6102,6.6527,0.64,6.5677,-0.64,23,Financial Services
FDX,FedEx Corporation,4/12/1978,0.76,0.76,0,1.0009,31.69,23,Industrials
